time,x_odom,y_odom,yaw_odom
1787564579.2306647,0.0,0.0,0.0012601613998413086
1787564579.2781157,0.0,0.0,0.0013595819473266602
1787564579.3264854,0.0,0.0,0.0013595819473266602
1787564579.383677,0.0,0.0,0.001334190368652344
1787564579.4396372,0.0,0.0,0.001334190368652344
1787564579.4842362,0.0,0.0,0.001334190368652344
1787564579.5325966,0.0,0.0,0.0013839006423950195
1787564579.5920796,0.0,0.0,0.001432299613952637
1787564579.6474617,0.0,0.0,0.001432299613952637
1787564579.6795442,0.0,0.0,0.001432299613952637
1787564579.72548,0.0,0.0,0.001477837562561035
1787564579.7750897,0.0,0.0,0.001477837562561035
1787564579.835783,0.0,0.0,0.0014818906784057617
1787564579.8773623,0.0,0.0,0.0015490055084228516
1787564579.9279063,0.0,0.0,0.0015490055084228516
1787564579.9796953,0.0,0.0,0.0015079975128173828
1787564580.026262,0.0,0.0,0.0015079975128173828
1787564580.0756912,0.0,0.0,0.0014421939849853518
1787564580.125772,0.0,0.0,0.0017061233520507815
1787564580.1791394,0.0,0.0,0.0017566680908203127
1787564580.2285259,0.0,0.0,0.0017000436782836916
1787564580.2766805,0.0,0.0,0.0017383098602294922
1787564580.325867,0.0,0.0,0.0017940998077392578
1787564580.3786144,0.0,0.0,0.0017895698547363283
1787564580.426858,0.0,0.0,0.001867055892944336
1787564580.480691,0.0,0.0,0.0018543004989624026
1787564580.5248876,0.0,0.0,0.0018543004989624026
1787564580.5757067,0.0,0.0,0.0018467903137207031
1787564580.6258135,0.0,0.0,0.001870989799499512
1787564580.6758988,0.0,0.0,0.001870989799499512
1787564580.7268138,0.0,0.0,0.0018005371093750002
1787564580.7758722,0.0,0.0,0.0017552375793457033
1787564580.8261225,0.0,0.0,0.0017871856689453123
1787564580.8758118,0.0,0.0,0.0018005371093750002
1787564580.9250598,0.0,0.0,0.0018030405044555664
1787564580.9750617,0.0,0.0,0.0018030405044555664
1787564581.027045,0.0,0.0,0.0016807317733764648
1787564581.0766487,0.0,0.0,0.0017786026000976562
1787564581.1283708,0.0,0.0,0.0017786026000976562
1787564581.1749215,0.0,0.0,0.002011775970458985
1787564581.2287934,0.0,0.0,0.0019636154174804683
1787564581.2795506,0.0,0.0,0.0019636154174804683
1787564581.326787,0.0,0.0,0.001960515975952149
1787564581.3965044,0.0,0.0,0.0020306110382080082
1787564581.4378464,0.0,0.0,0.0020306110382080082
1787564581.4810107,0.0,0.0,0.0019669532775878906
1787564581.536127,0.0,0.0,0.001998305320739746
1787564581.575739,0.0,0.0,0.001998305320739746
1787564581.6269593,0.0,0.0,0.002096295356750488
1787564581.6779306,0.0,0.0,0.002096295356750488
1787564581.7283013,0.0,0.0,0.0020481348037719727
1787564581.774767,0.0,0.0,0.002103567123413086
1787564581.8249807,0.0,0.0,0.0021357536315917973
1787564581.8755374,0.0,0.0,0.0021332502365112305
1787564581.9249246,0.0,0.0,0.0020942687988281254
1787564581.9820983,0.0,0.0,0.002087831497192383
1787564582.0257397,0.0,0.0,0.00211632251739502
1787564582.0751245,0.0,0.0,0.0021867752075195317
1787564582.1266594,0.0,0.0,0.002168536186218262
1787564582.1757524,0.0,0.0,0.002168536186218262
1787564582.2255352,0.0,0.0,0.0020580291748046875
1787564582.2807076,0.0,0.0,0.0020365715026855473
1787564582.3265407,0.0,0.0,0.002070903778076172
1787564582.3775551,0.0,0.0,0.002070903778076172
1787564582.429224,0.0,0.0,0.002048492431640625
1787564582.4832747,0.0,0.0,0.0020259618759155273
1787564582.526414,0.0,0.0,0.0020259618759155273
1787564582.6157553,0.0,0.0,0.0021327733993530278
1787564582.6716044,0.0,0.0,0.0021116733551025395
1787564582.7233343,0.0,0.0,0.0020428895950317383
1787564582.7247543,0.0,0.0,0.0019403696060180666
1787564582.7778862,0.0,0.0,0.0019403696060180666
1787564582.870334,0.0,0.0,0.002039313316345215
1787564582.913076,0.0,0.0,0.0020548105239868164
1787564582.9786632,0.0,0.0,0.0020270347595214844
1787564583.0638433,0.0,0.0,0.0019373893737792973
