time,x_odom,y_odom,yaw_odom,x_icp,y_icp,yaw_icp
1786957800.1995127,-3.633043583515876e-10,7.454040848295524e-09,0.05721032619476319,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
1786957800.2282622,-3.633043583515876e-10,7.454040848295524e-09,0.05736267566680909,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
1786957800.2780173,-3.633043583515876e-10,7.454040848295524e-09,0.0574411153793335,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
1786957800.3396852,-3.633043583515876e-10,7.454040848295524e-09,0.05744433403015137,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
1786957800.3804874,-3.633043583515876e-10,7.454040848295524e-09,0.05737698078155519,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
1786957800.4717307,-3.633043583515876e-10,7.454040848295524e-09,0.057368159294128425,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
1786957800.4945517,-3.633043583515876e-10,7.454040848295524e-09,0.05740356445312499,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
1786957800.5321333,-3.633043583515876e-10,7.454040848295524e-09,0.05754578113555908,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
1786957800.5900795,-3.633043583515876e-10,7.454040848295524e-09,0.05768358707427978,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
1786957800.6281052,-3.633043583515876e-10,7.454040848295524e-09,0.057681083679199205,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
1786957800.6778903,-3.633043583515876e-10,7.454040848295524e-09,0.057645559310913086,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
1786957800.7280064,-3.633043583515876e-10,7.454040848295524e-09,0.05764937400817872,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
1786957800.7786355,-3.633043583515876e-10,7.454040848295524e-09,0.05767691135406495,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
1786957800.832316,-3.633043583515876e-10,7.454040848295524e-09,0.05792009830474854,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
1786957800.877978,-3.633043583515876e-10,7.454040848295524e-09,0.05795121192932129,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
1786957800.9310942,-3.633043583515876e-10,7.454040848295524e-09,0.057987570762634284,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
1786957800.977948,2.5267777503743527e-05,1.4743910744557135e-06,0.057991862297058105,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
1786957801.0281358,-3.497506595626055e-10,7.220595634568042e-09,0.05800604820251465,-0.03265857696533203,-0.004502773284912109,-0.0074241905714657365
