time,x_odom,y_odom,yaw_odom,x_icp,y_icp,yaw_icp
1786707822.4193096,0.23400280129293619,0.06386250419687244,0.5116082463217164,0.0,0.0,0.0
1786707822.4710894,0.23661425419930115,0.06533908359462533,0.5176082463217828,0.0,0.0,0.0
1786707822.5194423,0.23921680067642484,0.06683130503745498,0.5236082463218487,0.0,0.0,0.0
1786707822.5743651,0.24439479990138407,0.06986245861792362,0.5356082463219816,0.0,0.0,0.0
1786707822.6196432,0.24697006624180662,0.071401281634361,0.5416082463220474,0.0,0.0,0.0
1786707822.6692176,0.2495360533448728,0.07295552845740044,0.547608246322114,0.0,0.0,0.0
1786707822.7192113,0.25209266883532444,0.07452514313432428,0.5536082463221804,0.0,0.0,0.0
1786707822.769457,0.2546398206752796,0.07611006915917347,0.5596082463222463,0.0,0.0,0.0
1786707822.820361,0.25717741716754716,0.07771024947478246,0.5656082463223129,0.0,0.0,0.0
1786707822.8844738,0.25970536695892743,0.07932562647483272,0.5716082463223794,0.029082648690256563,0.003107403655271962,0.061170708236638005
1786707822.9201746,0.25970536695892743,0.07932562647483272,0.5716082463223794,0.029082648690256563,0.003107403655271962,0.061170708236638005
1786707822.9693053,0.2622235790435009,0.08095614200592648,0.5776082463224453,0.029082648690256563,0.003107403655271962,0.061170708236638005
1786707823.0250616,0.26473196276590477,0.08260173736968096,0.5836082463225117,0.029082648690256563,0.003107403655271962,0.061170708236638005
1786707823.0690033,0.26723042782459566,0.08426235332484067,0.5896082463225784,0.029082648690256563,0.003107403655271962,0.061170708236638005
1786707823.121251,0.26971888427510116,0.08593793008941054,0.5956082463226441,0.029082648690256563,0.003107403655271962,0.061170708236638005
1786707823.1693928,0.27219724253325805,0.08762840734280815,0.6016082463227106,0.029082648690256563,0.003107403655271962,0.061170708236638005
1786707823.219196,0.2746654133784368,0.08933372422803472,0.6076082463227772,0.029082648690256563,0.003107403655271962,0.061170708236638005
1786707823.269296,0.27712330795675394,0.0910538193538668,0.6136082463228432,0.029082648690256563,0.003107403655271962,0.061170708236638005
1786707823.3196993,0.27957083778426955,0.09278863079706551,0.6196082463229096,0.029082648690256563,0.003107403655271962,0.061170708236638005
1786707823.3695345,0.28200791475017345,0.09453809610460602,0.6256082463229754,0.029082648690256563,0.003107403655271962,0.061170708236638005
1786707823.421366,0.2844344511199586,0.09630215229592638,0.6316082463230409,0.06124119050104231,0.004487894373280467,0.12142531315850777
1786707823.469194,0.28685035953857846,0.09808073586519434,0.637608246323106,0.06124119050104231,0.004487894373280467,0.12142531315850777
1786707823.533122,0.291649945018289,0.10168122850162814,0.6496082463232371,0.06124119050104231,0.004487894373280467,0.12142531315850777
1786707823.585175,0.2940334492948204,0.10350300795144796,0.6556082463233016,0.06124119050104231,0.004487894373280467,0.12142531315850777
1786707823.6194894,0.2964059800572885,0.10533905554918963,0.6616082463233638,0.06124119050104231,0.004487894373280467,0.12142531315850777
1786707823.6702564,0.29876745189484205,0.10718930519733773,0.6676082463234256,0.06124119050104231,0.004487894373280467,0.12142531315850777
1786707823.7202168,0.30345687914546104,0.11093214370082859,0.6796082463235492,0.06124119050104231,0.004487894373280467,0.12142531315850777
1786707823.7757928,0.3057846657396519,0.11282459781438942,0.6856082463236114,0.06124119050104231,0.004487894373280467,0.12142531315850777
1786707823.8191996,0.30810105577725655,0.11473098449964363,0.6916082463236732,0.08813156490761304,0.005229409547059395,0.18301295323434294
1786707823.8689878,0.31269931303682025,0.11858528056727227,0.7036082463237973,0.08813156490761304,0.005229409547059395,0.18301295323434294
1786707823.9222956,0.3149810147220141,0.12053305119540456,0.7096082463238588,0.08813156490761304,0.005229409547059395,0.18301295323434294
1786707823.9692254,0.31725098878305147,0.12249447689174091,0.7156082463239211,0.08813156490761304,0.005229409547059395,0.18301295323434294
1786707824.0227983,0.3195091535011112,0.12446948704516804,0.7216082463239831,0.08813156490761304,0.005229409547059395,0.18301295323434294
1786707824.0692456,0.3217554275825074,0.12645801055553385,0.7276082463240447,0.08813156490761304,0.005229409547059395,0.18301295323434294
1786707824.1222248,0.32621198080378466,0.13047531081665248,0.7396082463241687,0.08813156490761304,0.005229409547059395,0.18301295323434294
1786707824.1717339,0.3284220995082311,0.1325039429450297,0.7456082463242308,0.08813156490761304,0.005229409547059395,0.18301295323434294
1786707824.219309,0.3306200067109206,0.134545799190801,0.7516082463242927,0.11540379380982366,0.008802168292930969,0.24321165118387475
1786707824.269701,0.3328056232874317,0.13660080604736205,0.7576082463243546,0.11540379380982366,0.008802168292930969,0.24321165118387475
1786707824.331393,0.3349788705558029,0.13866888953468737,0.7636082463244168,0.11540379380982366,0.008802168292930969,0.24321165118387475
1786707824.3701737,0.33713967027936725,0.1407499752019953,0.7696082463244782,0.11540379380982366,0.008802168292930969,0.24321165118387475
1786707824.4197552,0.34142361638875945,0.144950852935742,0.7816082463246026,0.11540379380982366,0.008802168292930969,0.24321165118387475
1786707824.469262,0.3435466085529901,0.14707049377103562,0.7876082463246641,0.11540379380982366,0.008802168292930969,0.24321165118387475
1786707824.523851,0.3435466085529901,0.14707049377103562,0.7876082463246641,0.11540379380982366,0.008802168292930969,0.24321165118387475
1786707824.5704665,0.3456568447347713,0.14920283432946665,0.7936082463247263,0.11540379380982366,0.008802168292930969,0.24321165118387475
1786707824.626028,0.3477542489658285,0.1513477978470053,0.7996082463247882,0.11540379380982366,0.008802168292930969,0.24321165118387475
1786707824.6707785,0.34983874573983664,0.15350530710519664,0.80560824632485,0.14678910188827637,0.013763070951047254,0.3023072011868785
1786707824.719338,0.35191026001513637,0.1556752844339401,0.8116082463249121,0.14678910188827637,0.013763070951047254,0.3023072011868785
1786707824.7694101,0.3560140432425026,0.160052330381249,0.8236082463250358,0.14678910188827637,0.013763070951047254,0.3023072011868785
1786707824.8253744,0.3580461644588161,0.16225924142663323,0.8296082463250977,0.14678910188827637,0.013763070951047254,0.3023072011868785
1786707824.8692365,0.3620705003186159,0.1667094424209243,0.8416082463252217,0.14678910188827637,0.013763070951047254,0.3023072011868785
1786707824.9194999,0.3620705003186159,0.1667094424209243,0.8416082463252217,0.14678910188827637,0.013763070951047254,0.3023072011868785
1786707824.9692492,0.3660411452994276,0.17120761387590663,0.8536082463253456,0.14678910188827637,0.013763070951047254,0.3023072011868785
