time,x,y,yaw,cov_prop,K_gain,innovation,v_ekf,omega_ekf
1787210972.77251,1.782820047698089,1.4107642597226389,1.9579398106712294,"[ 8.06001881e-05  5.98975927e-06  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -6.70284938e-06  5.98975927e-06  5.55303172e-05
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.33586651e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -6.70284938e-06 -2.33586651e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.70219874e-06]","[[-0.00042744  0.08115239]
 [-0.00139562  0.00230188]]",[],0.0,0.0
1787210973.0844827,1.782820047698089,1.4107642597226389,1.9579398106712294,"[ 8.06001881e-05  5.98975927e-06  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -6.70284938e-06  5.98975927e-06  5.55303172e-05
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.33586651e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -6.70284938e-06 -2.33586651e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.70219874e-06]","[[-0.00042744  0.08115239]
 [-0.00139562  0.00230188]]",[],0.0,0.0
1787210973.4293418,1.8041255062025556,1.410463847678362,1.96788589475858,"[ 4.05991550e-05  3.50050030e-06  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.91607293e-06  3.50050030e-06  2.72404605e-05
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.54359843e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.91607293e-06 -1.54359843e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.35186335e-06]","[[-0.00074633  0.01997663]
 [-0.00056344 -0.00508592]]",[],0.0,0.0
1787210973.4316525,1.8041255062025556,1.410463847678362,1.96788589475858,"[ 4.05991550e-05  3.50050030e-06  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.91607293e-06  3.50050030e-06  2.72404605e-05
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.54359843e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.91607293e-06 -1.54359843e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.35186335e-06]","[[-0.00074633  0.01997663]
 [-0.00056344 -0.00508592]]",[],0.0,0.0
1787210973.8249872,1.8199260829726225,1.4039150555912008,1.9771019164711188,"[ 2.74451910e-05  2.37670134e-06  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -2.63826210e-06  2.37670134e-06  1.81843363e-05
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.01360990e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -2.63826210e-06 -1.01360990e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.93577228e-06]","[[-0.00050249  0.01357035]
 [-0.00037802 -0.00339475]]",[],0.0,0.0
1787210973.8311496,1.841219042615459,1.3998381618752127,1.983580625004457,"[ 2.05067211e-05  1.67752496e-06  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -2.09645186e-06  1.67752496e-06  1.35820610e-05
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -7.74906490e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -2.09645186e-06 -7.74906490e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.95701041e-06]","[[-0.00037194  0.01042513]
 [-0.00028165 -0.00252169]]",[],0.0,0.0
1787210974.0136776,1.841219042615459,1.3998381618752127,1.983580625004457,"[ 2.05067211e-05  1.67752496e-06  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -2.09645186e-06  1.67752496e-06  1.35820610e-05
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -7.74906490e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -2.09645186e-06 -7.74906490e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.95701041e-06]","[[-0.00037194  0.01042513]
 [-0.00028165 -0.00252169]]",[],0.0,0.0
1787210974.2216945,1.841219042615459,1.3998381618752127,1.983580625004457,"[ 2.05067211e-05  1.67752496e-06  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -2.09645186e-06  1.67752496e-06  1.35820610e-05
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -7.74906490e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -2.09645186e-06 -7.74906490e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.95701041e-06]","[[-0.00037194  0.01042513]
 [-0.00028165 -0.00252169]]",[],0.0,0.0
1787210974.5559282,1.8544100777278736,1.3974108491236128,1.9903055760554675,"[ 1.63824228e-05  1.31641010e-06  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -1.70515928e-06  1.31641010e-06  1.08934290e-05
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.79548157e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.70515928e-06 -5.79548157e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.94350906e-06]","[[-0.00029511  0.00843675]
 [-0.00022628 -0.00208805]]",[],0.0,0.0
1787210974.6174772,1.8544100777278736,1.3974108491236128,1.9903055760554675,"[ 1.63824228e-05  1.31641010e-06  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -1.70515928e-06  1.31641010e-06  1.08934290e-05
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.79548157e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.70515928e-06 -5.79548157e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.94350906e-06]","[[-0.00029511  0.00843675]
 [-0.00022628 -0.00208805]]",[],0.0,0.0
