time,x,y,yaw,cov_prop,K_gain,innovation,v_ekf,omega_ekf
1787133259.0448792,0.25737492927248573,-1.0915679307648327,0.36037283852132873,"[ 3.39179361e-06  8.82593061e-08  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81330222e-09  8.82593061e-08  3.30657864e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.81330222e-09  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56472396e-06]","[[-0.00818385  0.00070699]
 [-0.00259171 -0.0034175 ]]",[],0.0,0.0
1787133259.138904,0.25737492927248573,-1.0915679307648327,0.36037283852132873,"[ 3.39179361e-06  8.82593061e-08  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81330222e-09  8.82593061e-08  3.30657864e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.81330222e-09  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56472396e-06]","[[-0.00818385  0.00070699]
 [-0.00259171 -0.0034175 ]]",[],0.0,0.0
1787133259.1888013,0.25737492927248573,-1.0915679307648327,0.36037283852132873,"[ 3.39179361e-06  8.82593061e-08  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81330222e-09  8.82593061e-08  3.30657864e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.81330222e-09  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56472396e-06]","[[-0.00818385  0.00070699]
 [-0.00259171 -0.0034175 ]]",[],0.0,0.0
1787133259.2727723,0.25737492927248573,-1.0915679307648327,0.36037283852132873,"[ 3.39179361e-06  8.82593061e-08  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81330222e-09  8.82593061e-08  3.30657864e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.81330222e-09  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56472396e-06]","[[-0.00818385  0.00070699]
 [-0.00259171 -0.0034175 ]]",[],0.0,0.0
1787133259.3111193,0.25737492927248573,-1.0915679307648327,0.36037283852132873,"[ 3.39179361e-06  8.82593061e-08  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81330222e-09  8.82593061e-08  3.30657864e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.81330222e-09  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56472396e-06]","[[-0.00818385  0.00070699]
 [-0.00259171 -0.0034175 ]]",[],0.0,0.0
1787133259.3660533,0.25737492927248573,-1.0915679307648327,0.36037283852132873,"[ 3.39179361e-06  8.82593061e-08  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81330222e-09  8.82593061e-08  3.30657864e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.81330222e-09  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56472396e-06]","[[-0.00818385  0.00070699]
 [-0.00259171 -0.0034175 ]]",[],0.0,0.0
1787133259.388506,0.25737492927248573,-1.0915679307648327,0.36037283852132873,"[ 3.39179361e-06  8.82593061e-08  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81330222e-09  8.82593061e-08  3.30657864e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.81330222e-09  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56472396e-06]","[[-0.00818385  0.00070699]
 [-0.00259171 -0.0034175 ]]",[],0.0,0.0
1787133259.4746187,0.25737492927248573,-1.0915679307648327,0.36037283852132873,"[ 3.39179361e-06  8.82593061e-08  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81330222e-09  8.82593061e-08  3.30657864e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.81330222e-09  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56472396e-06]","[[-0.00818385  0.00070699]
 [-0.00259171 -0.0034175 ]]",[],0.0,0.0
1787133259.5654154,0.25737492927248573,-1.0915679307648327,0.36037283852132873,"[ 3.39179361e-06  8.82593061e-08  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81330222e-09  8.82593061e-08  3.30657864e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.81330222e-09  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56472396e-06]","[[-0.00818385  0.00070699]
 [-0.00259171 -0.0034175 ]]",[],0.0,0.0
1787133259.5899649,0.25737492927248573,-1.0915679307648327,0.36037283852132873,"[ 3.39179361e-06  8.82593061e-08  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81330222e-09  8.82593061e-08  3.30657864e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.81330222e-09  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56472396e-06]","[[-0.00818385  0.00070699]
 [-0.00259171 -0.0034175 ]]",[],0.0,0.0
1787133259.6523466,0.25737492927248573,-1.0915679307648327,0.36037283852132873,"[ 3.39179361e-06  8.82593061e-08  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81330222e-09  8.82593061e-08  3.30657864e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.81330222e-09  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56472396e-06]","[[-0.00818385  0.00070699]
 [-0.00259171 -0.0034175 ]]",[],0.0,0.0
1787133259.7133846,0.25737492927248573,-1.0915679307648327,0.36037283852132873,"[ 3.39179361e-06  8.82593061e-08  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81330222e-09  8.82593061e-08  3.30657864e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.81330222e-09  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56472396e-06]","[[-0.00818385  0.00070699]
 [-0.00259171 -0.0034175 ]]",[],0.0,0.0
1787133259.7464223,0.25737492927248573,-1.0915679307648327,0.36037283852132873,"[ 3.39179361e-06  8.82593061e-08  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81330222e-09  8.82593061e-08  3.30657864e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.81330222e-09  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56472396e-06]","[[-0.00818385  0.00070699]
 [-0.00259171 -0.0034175 ]]",[],0.0,0.0
1787133259.7887256,0.25737492927248573,-1.0915679307648327,0.36037283852132873,"[ 3.39179361e-06  8.82593061e-08  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81330222e-09  8.82593061e-08  3.30657864e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.81330222e-09  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56472396e-06]","[[-0.00818385  0.00070699]
 [-0.00259171 -0.0034175 ]]",[],0.0,0.0
1787133259.8525355,0.25737492927248573,-1.0915679307648327,0.36037283852132873,"[ 3.39179361e-06  8.82593061e-08  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81330222e-09  8.82593061e-08  3.30657864e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.81330222e-09  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56472396e-06]","[[-0.00818385  0.00070699]
 [-0.00259171 -0.0034175 ]]",[],0.0,0.0
1787133259.906225,0.25737492927248573,-1.0915679307648327,0.36037283852132873,"[ 3.39179361e-06  8.82593061e-08  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81330222e-09  8.82593061e-08  3.30657864e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.81330222e-09  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56472396e-06]","[[-0.00818385  0.00070699]
 [-0.00259171 -0.0034175 ]]",[],0.0,0.0
1787133259.942455,0.25737492927248573,-1.0915679307648327,0.36037283852132873,"[ 3.39179361e-06  8.82593061e-08  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.81330222e-09  8.82593061e-08  3.30657864e-06
  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -3.81330222e-09  2.96212797e-07
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.56472396e-06]","[[-0.00818385  0.00070699]
 [-0.00259171 -0.0034175 ]]",[],0.0,0.0
1787133260.0150442,0.25004631275417005,-1.0855152625421138,0.3525646915335252,"[1.78809185e-06 6.68486130e-08 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.91191276e-08 6.68486130e-08 1.67135305e-06
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.54816323e-07
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.91191276e-08 1.54816323e-07
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.49996225e-06]","[[-0.0042908   0.00029363]
 [-0.00148882 -0.00171073]]",[],0.0,0.0
1787133260.0400422,0.25004631275417005,-1.0855152625421138,0.3525646915335252,"[1.78809185e-06 6.68486130e-08 0.00000000e+00 0.00000000e+00
 0.00000000e+00 2.91191276e-08 6.68486130e-08 1.67135305e-06
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.54816323e-07
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.91191276e-08 1.54816323e-07
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.49996225e-06]","[[-0.0042908   0.00029363]
 [-0.00148882 -0.00171073]]",[],0.0,0.0
