time,x,y,yaw,cov_prop,K_gain,innovation
1786946954.9910924,9.60068879590273e-09,-2.2140166262960905e-21,-4.605205106145149e-13,"[ 9.99740535e-03 -2.12598875e-21  0.00000000e+00  0.00000000e+00
  0.00000000e+00  4.80637460e-09 -2.12598875e-21  9.99740068e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.34402872e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  4.80637460e-09 -2.34402872e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99749830e-03]","[[ 9.99740535e-06 -2.12598875e-24  4.80637460e-12]
 [-2.12598875e-24  9.99740068e-06 -2.34402872e-24]
 [ 4.80637460e-12 -2.34402872e-24  9.99749830e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946955.0389917,9.600688799736614e-09,-2.2140166271792378e-21,-4.605205106145149e-13,"[ 9.99700604e-03 -2.34441216e-21  0.00000000e+00  0.00000000e+00
  0.00000000e+00  5.29450797e-09 -2.34441216e-21  9.99700090e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.56378186e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.29450797e-09 -2.56378186e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99710843e-03]","[[ 9.99700604e-06 -2.34441216e-24  5.29450797e-12]
 [-2.34441216e-24  9.99700090e-06 -2.56378186e-24]
 [ 5.29450797e-12 -2.56378186e-24  9.99710843e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946955.0872264,9.600688801652536e-09,-2.214016627620369e-21,-4.605205106145149e-13,"[ 9.99680649e-03 -2.49046607e-21  0.00000000e+00  0.00000000e+00
  0.00000000e+00  5.62091046e-09 -2.49046607e-21  9.99680102e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.74232683e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  5.62091046e-09 -2.74232683e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99691519e-03]","[[ 9.99680649e-06 -2.49046607e-24  5.62091046e-12]
 [-2.49046607e-24  9.99680102e-06 -2.74232683e-24]
 [ 5.62091046e-12 -2.74232683e-24  9.99691519e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946955.1368353,9.600688804526739e-09,-2.214016628282246e-21,-4.605205106145149e-13,"[ 9.99650715e-03 -2.70397542e-21  0.00000000e+00  0.00000000e+00
  0.00000000e+00  6.09806280e-09 -2.70397542e-21  9.99650122e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.03139961e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.09806280e-09 -3.03139961e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99662508e-03]","[[ 9.99650715e-06 -2.70397542e-24  6.09806280e-12]
 [-2.70397542e-24  9.99650122e-06 -3.03139961e-24]
 [ 6.09806280e-12 -3.03139961e-24  9.99662508e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946955.190718,9.6006888054809e-09,-2.2140166285010817e-21,-4.605205106145149e-13,"[ 9.99640777e-03 -2.95513107e-21  0.00000000e+00  0.00000000e+00
  0.00000000e+00  6.65935015e-09 -2.95513107e-21  9.99640130e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.37314546e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.65935015e-09 -3.37314546e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99653655e-03]","[[ 9.99640777e-06 -2.95513107e-24  6.65935015e-12]
 [-2.95513107e-24  9.99640130e-06 -3.37314546e-24]
 [ 6.65935015e-12 -3.37314546e-24  9.99653655e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946955.2369947,9.600688808351483e-09,-2.2140166291613447e-21,-4.605205106145149e-13,"[ 9.99610845e-03 -3.16683716e-21  0.00000000e+00  0.00000000e+00
  0.00000000e+00  7.13247270e-09 -3.16683716e-21  9.99610152e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.53040841e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  7.13247270e-09 -3.53040841e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99624638e-03]","[[ 9.99610845e-06 -3.16683716e-24  7.13247270e-12]
 [-3.16683716e-24  9.99610152e-06 -3.53040841e-24]
 [ 7.13247270e-12 -3.53040841e-24  9.99624638e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946955.3051484,9.600688809309414e-09,-2.2140166293819344e-21,-4.605205106145149e-13,"[ 9.99600867e-03 -3.23344832e-21  0.00000000e+00  0.00000000e+00
  0.00000000e+00  7.28133578e-09 -3.23344832e-21  9.99600160e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.59613500e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  7.28133578e-09 -3.59613500e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99614949e-03]","[[ 9.99600867e-06 -3.23344832e-24  7.28133578e-12]
 [-3.23344832e-24  9.99600160e-06 -3.59613500e-24]
 [ 7.28133578e-12 -3.59613500e-24  9.99614949e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946955.3425121,9.600688811224807e-09,-2.2140166298229084e-21,-4.605205106145149e-13,"[ 9.99580915e-03 -3.37494880e-21  0.00000000e+00  0.00000000e+00
  0.00000000e+00  7.59756217e-09 -3.37494880e-21  9.99580176e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.75229675e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  7.59756217e-09 -3.75229675e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99595607e-03]","[[ 9.99580915e-06 -3.37494880e-24  7.59756217e-12]
 [-3.37494880e-24  9.99580176e-06 -3.75229675e-24]
 [ 7.59756217e-12 -3.75229675e-24  9.99595607e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946955.3894353,9.600688814091193e-09,-2.2140166304813195e-21,-4.605205106145149e-13,"[ 9.99551049e-03 -3.87279921e-21  0.00000000e+00  0.00000000e+00
  0.00000000e+00  8.71016693e-09 -3.87279921e-21  9.99550202e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.14236458e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  8.71016693e-09 -4.14236458e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99567893e-03]","[[ 9.99551049e-06 -3.87279921e-24  8.71016693e-12]
 [-3.87279921e-24  9.99550202e-06 -4.14236458e-24]
 [ 8.71016693e-12 -4.14236458e-24  9.99567893e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
1786946955.4583948,9.600688816965073e-09,-2.2140166311432225e-21,-4.605205106145149e-13,"[ 9.99521123e-03 -4.08765215e-21  0.00000000e+00  0.00000000e+00
  0.00000000e+00  9.19032198e-09 -4.08765215e-21  9.99520230e-03
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.39325594e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  9.19032198e-09 -4.39325594e-21
  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.99538896e-03]","[[ 9.99521123e-06 -4.08765215e-24  9.19032198e-12]
 [-4.08765215e-24  9.99520230e-06 -4.39325594e-24]
 [ 9.19032198e-12 -4.39325594e-24  9.99538896e-06]]",[-9.60078478e-09  2.21403876e-21  4.60520511e-13]
