x,y
-1.988962568435111100e+00,7.013620780992273485e-01
-2.077759217356596189e+00,3.048216431726944453e-01
-2.088634337045863987e+00,3.691176297188412669e-01
-1.675825691026896491e+00,1.062009474831612010e+00
-1.839536087147396026e+00,-7.950614930159874971e-01
-1.804046681487101234e+00,-8.375777116545296552e-01
-1.546619523800541351e+00,1.088048331293266058e+00
-2.060754181830349197e+00,3.484133225013922308e-01
-2.060418104349125645e+00,2.919565179516606657e-01
-2.056572653077529900e+00,3.179155480906127318e-01
-1.422444450090881274e+00,2.040119863104397080e-01
-1.416455581762939619e+00,1.647106012760954918e-01
-1.544964036347009850e+00,1.060642235275477852e+00
-1.535729020589856164e+00,1.059949331480408707e+00
-1.691954381400916585e+00,1.058917644030880068e+00
-1.815466883840986201e+00,8.367083164699599118e-01
-2.033437937685321550e+00,3.653574832034368614e-01
-2.024897780381402335e+00,3.946616645707844429e-01
-1.493763188385792917e+00,-1.212620151752690667e+00
-2.034869916658661460e+00,3.572958987005807052e-01
-1.688606965165764917e+00,1.095799052412247399e+00
-1.562712359112960137e+00,1.071893189822145764e+00
-1.812395065878627642e+00,8.362059140908251198e-01
-1.624896907704538540e+00,1.108512097068077518e+00
-1.416909576443428298e+00,1.607583573660333887e-01
-2.000420173147269942e+00,6.836047671199089182e-01
-1.405934002760442336e+00,1.993726611208898880e-01
-1.958932936212677500e+00,7.370417084261202678e-01
-1.436289103879548446e+00,-1.257519287869238056e+00
-1.485953343727606679e+00,-1.187243223446796003e+00
-1.429991764240286845e+00,-1.267692630425119260e+00
-1.438056728947815888e+00,-1.266115665023629600e+00
-1.858417538336412544e+00,4.653098588845720751e-02
-1.828997008877206287e+00,-3.305686626080384105e-03
-2.136513627512076408e+00,3.561811901580619333e-01
-2.133381638350781540e+00,2.973196497634639224e-01
-1.423816850542376500e+00,1.328360873355629024e-01
-1.785722071779396680e+00,8.622562503196711248e-01
-2.093582118332667275e+00,3.071964313351085996e-01
-2.087889175023283084e+00,3.247882974501503650e-01
-1.790209201802629213e+00,9.183111408932811415e-01
