x,y
-4.745858931911952072e-01,1.204338691228160618e+00
-5.022446755605949331e-01,1.183344126510767813e+00
-5.303773629336501205e-01,1.164466490192863191e+00
-5.574353034463728207e-01,1.144033839937499630e+00
-5.847132017626840428e-01,1.124765425636881533e+00
-6.108869521624933352e-01,1.103982902531539523e+00
-6.378944699796961215e-01,1.085196322079091669e+00
-6.627590323096365088e-01,1.063208208612495209e+00
-6.863667786259307624e-01,1.039832048277758103e+00
-7.086414933626633550e-01,1.015133028691505457e+00
-7.312844386214991665e-01,9.915990885524158527e-01
-7.672658572214954287e-01,9.857682221756706165e-01
-8.015315991499291082e-01,9.764110333187238089e-01
-1.443016290659212331e+00,1.671682423299174047e+00
-1.510793150043725719e+00,1.661185716714930205e+00
-1.626217379846091049e+00,1.611804226784925964e+00
-1.897269863241629162e+00,1.786149561140038866e+00
-1.684656777538799277e+00,1.504795065846581181e+00
-1.812694062603928513e+00,1.457691896469953674e+00
-1.808673351338147217e+00,1.378681546909570566e+00
-1.709523626896850113e+00,1.233948278497213114e+00
-1.722903309456855325e+00,1.176838711189108988e+00
-1.583505103475866482e+00,1.021870157925420797e+00
-1.578885413139454297e+00,9.617293081318417647e-01
-1.678730325684109292e+00,9.640735242371883951e-01
-1.630364021430670274e+00,8.806444911272524045e-01
-1.662564512765942970e+00,8.431564597409825224e-01
-1.571007053536560782e+00,6.963855481852451179e-01
-1.575741777883897576e+00,6.501071190845651993e-01
-1.547429313520841010e+00,5.918006002927719278e-01
-1.502117217190544807e+00,5.300296244355320319e-01
-1.489841717084587014e+00,4.825537153816600866e-01
-1.501038430428777826e+00,4.435423219875462286e-01
-1.605785719338374662e+00,4.299781052509989432e-01
-1.128866478008328622e+00,2.692057071957181802e-01
-1.115100677011877206e+00,2.354382335034958251e-01
-1.126883472248486173e+00,2.076094357608852525e-01
-2.041996511373015633e+00,3.269499457359283379e-01
-2.036070913362905355e+00,2.720977359639751847e-01
-2.028684042700171108e+00,2.177765623959574681e-01
-1.383126086251169840e+00,1.102503925333381540e-01
-1.373706847542002674e+00,7.371074996367460441e-02
-1.436293009835891477e+00,4.011035581332658695e-02
-1.425021683797696337e+00,2.839428589404389622e-03
-1.418790848427749163e+00,-3.393239370511372255e-02
-1.964095693589871017e+00,-1.463114532330048456e-01
-1.960820749860961554e+00,-1.971890016102272603e-01
-1.949280847257733429e+00,-2.471338263030750937e-01
-1.942407754208094195e+00,-2.974977729597961251e-01
-1.935219005065222264e+00,-3.478406281658892873e-01
-1.926725796049690409e+00,-3.980061334029593723e-01
-1.918881416779192550e+00,-4.484089436342715285e-01
-1.908749117235478021e+00,-4.984179931602151226e-01
-1.901159719341318777e+00,-5.492955601205034011e-01
-1.892212244501316976e+00,-6.001084532896708845e-01
-1.885689794746889136e+00,-6.521152548997793952e-01
-1.877737428320914059e+00,-7.041795958173181491e-01
-1.834934549284636729e+00,-7.428627797119046194e-01
-1.637144035800997877e+00,-7.132620221474340605e-01
-1.478538878273183643e+00,-6.907615086159378803e-01
-1.342906893454725248e+00,-6.707621531729733855e-01
-1.827580060390281425e+00,-1.031191380474330455e+00
-1.762651455351037955e+00,-1.055651716792044947e+00
-1.634260501892248474e+00,-1.037458197535327420e+00
-1.521368202746894660e+00,-1.022246905221525948e+00
-8.708844475196002577e-01,-6.558544712832720114e-01
-1.388300586126049341e+00,-1.157469265990415996e+00
-1.305335081512069006e+00,-1.146983702357830870e+00
-1.274665985426419734e+00,-1.179713481840167333e+00
-1.241741617641823892e+00,-1.210228718337993170e+00
-1.304704901808485307e+00,-1.338367800975940991e+00
-1.228939036240335625e+00,-1.327778110102300735e+00
-1.660210271047799502e+00,-1.987241621472437103e+00
-1.648892208831973294e+00,-2.080412449151387122e+00
-1.633838602669146267e+00,-2.174288878822171256e+00
-1.195904998187293122e+00,-1.682058508170881872e+00
-1.095044616511783531e+00,-1.627951880369335802e+00
-1.042511209216564039e+00,-1.639747337885552492e+00
-1.568007990303244670e+00,-2.608144574104892754e+00
-1.470051340907149173e+00,-2.594823531101700720e+00
-1.374796840091929706e+00,-2.579975164185863257e+00
-1.281761882005026720e+00,-2.562859545600534084e+00
-7.168430867204858004e-01,-1.534423319894272941e+00
-6.786921669623737774e-01,-1.556141630394081377e+00
-1.025310042420500611e+00,-2.521287858313610020e+00
-9.574465715683118106e-01,-2.540444308244582672e+00
-1.004924311718164764e+00,-2.889179287692949405e+00
-9.166110374607099320e-01,-2.872328327925642633e+00
-1.204761509489040261e+00,-4.137266720938506559e+00
-1.082709530294178268e+00,-4.110993036390880206e+00
-9.649051777374535455e-01,-4.089965562288027989e+00
-8.497409815492007468e-01,-4.069537038285340635e+00
-7.346701481063542261e-01,-4.037059153868244543e+00
-3.837184004415910010e-01,-2.976834880228034219e+00
-5.725542449542742052e-01,-5.559100648951226020e+00
-1.789501654347583348e-01,-2.336705680882338321e+00
-2.891975792404404833e-01,-5.670212943531089955e+00
-1.428348630837703026e-01,-5.684819822141952805e+00
4.068502146181103563e-03,-5.657639267306654673e+00
1.260102620736688883e-01,-4.738988052701330389e+00
2.949440519715971765e-01,-5.623951796397504310e+00
4.387371226266679747e-01,-5.596522683912884766e+00
4.367635640781403206e-01,-4.180951184912225393e+00
6.860598710391323518e-01,-4.130086128458188455e+00
7.925191102780180241e-01,-4.110979330913740348e+00
8.988778496630795978e-01,-4.091078135474178978e+00
1.007615327871333788e+00,-4.080069116904619264e+00
1.114792375297448901e+00,-4.060373299172101547e+00
1.220463665459360803e+00,-4.034025548038929543e+00
1.328975676381207061e+00,-4.015362870576123733e+00
1.434962810262464528e+00,-3.987186393170870868e+00
1.543284682304725264e+00,-3.963658579638236645e+00
1.654829376353773362e+00,-3.945478210153267273e+00
1.768924929780418376e+00,-3.929630374589279551e+00
1.885470901335123628e+00,-3.915000668474057921e+00
1.999687974896833476e+00,-3.891609231199649965e+00
2.119230994488781938e+00,-3.874554460881443063e+00
2.238210887445389652e+00,-3.852162220080687316e+00
2.365313130245670248e+00,-3.838946148841679396e+00
2.484460016557804796e+00,-3.808302040775646713e+00
2.624052139419109864e+00,-3.803656282078878181e+00
2.753838567401196258e+00,-3.778944241409511129e+00
3.834753203104884989e+00,-4.984364477778119529e+00
3.973610259052025029e+00,-4.897475762338438621e+00
4.232146486163216537e+00,-4.948775998546148358e+00
4.521360093136304492e+00,-5.018085153250065211e+00
4.721832789296883881e+00,-4.975570495183685438e+00
4.925912718690891090e+00,-4.928813866426059676e+00
5.172753621614300634e+00,-4.914697975611482583e+00
5.180629044920777027e+00,-4.673481198906499934e+00
4.307086728074422055e+00,-3.689098201202955174e+00
4.509642305516473826e+00,-3.664656950451133710e+00
4.737520918703292061e+00,-3.650432408669240569e+00
4.776070156624043328e+00,-3.487195752403521976e+00
4.750118190201726875e+00,-3.283539845388328438e+00
4.432988997657600017e+00,-2.898367384746013187e+00
